TOWN,ALe,Alx,Aus,Bau,Bem,Bra,Clq,Crk,DLk,Dul,EGF,Ely,Fmt,Frb,FFl,GPo,GRp,Hib,Hut,IFl,LCr,Lit,LFl,Luv,Mkt,Mar,Mpl,Mvo,Mrh,Mor,NUl,Nfd,Noy,Owa,Pip,RWg,Rch,StC,SPl,SPt,Skp,Stl,TRF,Vir,Was,Wlm,Wnd,Win,Wrt
AlbertLea,-,168,15,338,294,191,227,365,214,183,335,260,56,38,266,369,241,248,122,283,90,136,156,123,62,143,77,156,308,204,81,55,359,26,162,98,52,144,94,68,73,104,333,262,31,163,101,102,110
Alexandria,-,-,226,220,103,83,183,154,78,149,139,247,197,175,35,283,143,151,95,198,221,73,46,161,191,109,131,63,95,37,103,174,231,140,173,188,186,50,101,160,130,147,142,222,195,47,156,269,181
Austin,-,-,-,429,308,189,214,370,301,205,298,336,70,61,263,323,255,311,121,344,87,155,208,146,64,171,103,196,277,199,110,60,439,31,153,84,35,162,83,88,83,123,351,280,55,172,122,76,117
Baudette,-,-,-,-,74,155,176,162,192,162,155,203,317,344,195,319,107,151,230,66,400,278,190,329,327,302,307,297,215,218,334,344,116,332,340,334,319,184,287,362,257,248,119,126,379,231,274,386,309
Bemidji,-,-,-,-,-,86,134,81,64,112,86,150,252,219,113,226,48,94,202,93,347,184,99,256,261,195,165,157,133,171,231,209,125,260,277,247,228,137,178,227,191,222,76,103,302,136,212,312,269
Brainerd,-,-,-,-,-,-,93,176,83,96,165,137,204,152,97,218,66,115,104,168,279,74,26,254,161,157,99,130,123,112,135,166,213,148,211,163,203,59,98,159,144,118,153,125,153,100,182,246,224
Cloquet,-,-,-,-,-,-,-,222,188,18,186,104,213,158,150,164,56,54,174,117,225,155,115,336,177,249,130,217,203,158,169,128,235,161,244,155,206,100,93,196,137,108,172,50,164,161,207,202,218
Crookston,-,-,-,-,-,-,-,-,73,235,23,233,340,334,100,383,114,184,233,143,347,247,138,241,313,229,292,209,56,134,265,247,80,323,279,320,299,166,239,315,310,235,43,194,318,223,324,416,262
DetroitLakes,-,-,-,-,-,-,-,-,-,184,106,177,268,238,35,299,110,158,142,191,282,135,82,261,249,173,202,124,34,88,213,224,131,228,227,257,228,120,173,184,213,155,79,134,207,120,249,257,223
Duluth,-,-,-,-,-,-,-,-,-,-,209,93,236,188,201,114,59,69,151,158,245,148,129,348,203,196,145,220,204,225,244,164,232,184,269,185,198,103,120,183,126,141,228,48,178,181,222,263,326
EastGrandForks,-,-,-,-,-,-,-,-,-,-,-,223,316,323,102,319,149,153,234,220,371,258,198,281,359,239,250,212,56,163,309,287,81,304,247,276,324,194,273,343,303,252,48,202,361,185,295,362,296
Ely,-,-,-,-,-,-,-,-,-,-,-,-,292,217,242,121,105,62,266,112,285,215,182,344,276,273,177,291,200,246,243,223,266,297,387,204,271,177,211,226,212,214,199,47,226,242,295,301,356
